"DateTime","PM Price"
"2017-06-19 05:00:00",918
"2017-06-20 05:00:00",921
"2017-06-21 05:00:00",917
"2017-06-22 05:00:00",933
"2017-06-23 05:00:00",927
"2017-06-26 05:00:00",922
"2017-06-27 05:00:00",920
"2017-06-28 05:00:00",921
"2017-06-29 05:00:00",910
"2017-06-30 05:00:00",922
"2017-07-03 05:00:00",911
"2017-07-04 05:00:00",908
"2017-07-05 05:00:00",901
"2017-07-06 05:00:00",905
"2017-07-07 05:00:00",911
"2017-07-10 05:00:00",895
"2017-07-11 05:00:00",891
"2017-07-12 05:00:00",919
"2017-07-13 05:00:00",914
"2017-07-14 05:00:00",918
"2017-07-17 05:00:00",927
"2017-07-18 05:00:00",927
"2017-07-19 05:00:00",925
"2017-07-20 05:00:00",918
"2017-07-21 05:00:00",937
"2017-07-24 05:00:00",937
"2017-07-25 05:00:00",926
"2017-07-26 05:00:00",920
"2017-07-27 05:00:00",931
"2017-07-28 05:00:00",927
"2017-07-31 05:00:00",938
"2017-08-01 05:00:00",941
"2017-08-02 05:00:00",940
"2017-08-03 05:00:00",949
"2017-08-04 05:00:00",967
"2017-08-07 05:00:00",962
"2017-08-08 05:00:00",972
"2017-08-09 05:00:00",979
"2017-08-10 05:00:00",982
"2017-08-11 05:00:00",984
"2017-08-14 05:00:00",968
"2017-08-15 05:00:00",952
"2017-08-16 05:00:00",963
"2017-08-17 05:00:00",975
"2017-08-18 05:00:00",985
"2017-08-21 05:00:00",982
"2017-08-22 05:00:00",974
"2017-08-23 05:00:00",979
"2017-08-24 05:00:00",977
"2017-08-25 05:00:00",975
"2017-08-29 05:00:00",1001
"2017-08-30 05:00:00",989
"2017-08-31 05:00:00",986
"2017-09-01 05:00:00",999
"2017-09-04 05:00:00",1007
"2017-09-05 05:00:00",1006
"2017-09-06 05:00:00",1011
"2017-09-07 05:00:00",1007
"2017-09-08 05:00:00",1014
"2017-09-11 05:00:00",994
"2017-09-12 05:00:00",981
"2017-09-13 05:00:00",982
"2017-09-14 05:00:00",980
"2017-09-15 05:00:00",976
"2017-09-18 05:00:00",960
"2017-09-19 05:00:00",950
"2017-09-20 05:00:00",945
"2017-09-21 05:00:00",933
"2017-09-22 05:00:00",935
"2017-09-25 05:00:00",927
"2017-09-26 05:00:00",927
"2017-09-27 05:00:00",917
"2017-09-28 05:00:00",918
"2017-09-29 05:00:00",920
"2017-10-02 05:00:00",912
"2017-10-03 05:00:00",907
"2017-10-04 05:00:00",912
"2017-10-05 05:00:00",912
"2017-10-06 05:00:00",911
"2017-10-09 05:00:00",914
"2017-10-10 05:00:00",925
"2017-10-11 05:00:00",929
"2017-10-12 05:00:00",936
